id,nombre,nombre_compania,ubicacion_sede,descripcion,web,fecha_alta,ultima_verificacion,fuente,estado
aficion-360,Aficion 360,Hiberus,"Zaragoza, Zaragoza","Software para agilizar el sistema de compra de entradas, así como la creación y renovación de abonos de club deportivos de primer nivel.",https://www.hiberus.com/aficion-360-software-venta-de-entradas,2022-08-22,2022-08-22,https://www.hiberus.com/aficion-360-software-venta-de-entradas,activo
agrifood,Agrifood,Libelium,"Zaragoza, Zaragoza",Una solución para gestionar la producción de alimentos de forma más eficiente y sostenible mediante el seguimiento del rendimiento de las explotaciones agrícolas y ganaderas.,https://www.libelium.com/agrifood/,2022-08-23,2022-08-23,https://www.libelium.com/agrifood/,activo
agroslab,Agroslab,7eDATA,"Zaragoza, Zaragoza",aGROSlab Ecosistema Digital Agrario es una plataforma web que integra aplicaciones informáticas de gestión para Técnicos y Asesores de Explotaciones Agrarias,https://www.agroslab.com/,2022-08-11,2022-08-11,https://www.agroslab.com/,activo
alertran,Alertran,Alerce,"Zaragoza, Zaragoza","Sistema de gestión integral gestiona todas las áreas del Core Bussiness de las Compañías de Transporte, Courier, paquetería y carga completa",https://www.alerce-group.com/es/soluciones/gestion-integral-transporte.html,2022-08-11,2022-08-11,https://www.alerce-group.com/es/soluciones/gestion-integral-transporte.html,activo
atenea,Atenea,Hiberus,"Zaragoza, Zaragoza","Software para la gestión de Servicios de Asistencia Técnica (estión Financiera, Gestión de Contratos, Gestión de Avisos, Gestión de Técnicos y Gestión de Almacén) de forma centralizada y mediante dispositivos móviles.",https://www.hiberus.com/atenea,2022-08-22,2022-08-22,https://www.hiberus.com/atenea,activo
blogia,Blogia,Blogia SL,"Zaragoza, Zaragoza",Alojamiento de bitacoras (blogs),https://www.blogia.com/,2022-09-11,2022-09-11,https://www.blogia.com/,activo
central-de-reservas,Central de reservas,Central de reservas,"Aínsa, Huesca",Agregador de tarifas de viaje y un metabuscador de viajes para reservas de alojamiento y actividades de viaje.,https://www.centraldereservas.com/,2022-08-11,2022-08-11,https://www.centraldereservas.com/,activo
certicalia,Certicalia,Certicalia,"Zaragoza, Zaragoza",Plataforma online que te ayuda a conectar con los mejores profesionales titulados para la gestión de trámites técnicos.,https://www.certicalia.com/,2022-08-19,2022-08-19,https://www.certicalia.com/,activo
coloriuris,ColorIuris,"Coloriuris, S.L.","Zaragoza, Zaragoza",Prestador cualificado de servicios de confianza,https://www.coloriuris.net/es:index,2022-09-11,2022-09-11,https://www.coloriuris.net/es:index,activo
cognitive-enhancement-lab,Cognitive Enhancement Lab,Bitbrain,"Zaragoza, Zaragoza",Plataforma científica desarrollada para el mantenimiento y la mejora cognitiva utilizando los procedimientos de detección cerebral más avanzados.,https://www.bitbrain.com/es/productos-neurotecnologia/soluciones-completas/investigacion-consumidor,2022-08-11,2022-08-11,https://www.bitbrain.com/es/productos-neurotecnologia/soluciones-completas/investigacion-consumidor,activo
cuentica,Cuentica,Cuentica,"Zaragoza, Zaragoza","SaaS para control del negocio que permite a cualquier autónomo, profesional o empresa, hacer las facturas de sus clientes, registrar todos sus gastos y llevar al día todos sus cobros y pagos",https://cuentica.com/,2022-08-11,2022-08-11,https://cuentica.com/,activo
data-driven-factory,Data Driven Factory,Septer,"Zaragoza, Zaragoza",Producto centrado en data drive factories,https://www.septer.es/data-driven-factory/,2022-08-11,2022-08-11,https://www.septer.es/data-driven-factory/,activo
dersu,Dersu,Dersu,"Jaca, Huesca",Aplicación para descubrir rutas de senderismo y nieve.,https://www.dersu.uz/es,2022-08-22,2026-07-31,https://www.dersu.uz/es,inactivo
dive-medical,Dive Medical,DIVE-MEDICAL,"Zaragoza, Zaragoza","Solución tecnológica universal de exámenes y cribados exhaustivos de la función visual, adecuada a partir de los 6 meses de edad y para la evaluación de niños con problemas neurológicos.",https://dive-medical.com/es/,2022-09-11,2022-09-11,https://dive-medical.com/es/,activo
emios,EMIOS,Energy Minus,"Jaca, Huesca","Plataforma de monitorización y teleactuación con análisis visual de datos y motor de reglas en tiempo real para empresas de gestión energética, gestores de infraestructuras, comercializadoras o científicos de datos.",https://energy-minus.es/,2022-08-25,2022-08-25,https://energy-minus.es/,activo
erasmusplay,erasmusplay,Erasmus Play,"Zaragoza, Zaragoza",Erasmus Play es un comparador de alojamiento para estudiantes que permite buscar en más de 500 ciudades de toda Europa.,https://erasmusplay.com/en/,2022-08-22,2022-08-22,https://erasmusplay.com/en/,activo
espublico-corporativa,esPublico Corporativa,esPublico,"Zaragoza, Zaragoza",Plataforma para gestionar contenidos jurídicos y económicos que necesitan los ayuntamientos,https://www.espublico.com/home/corporativa,2022-08-19,2022-08-19,https://www.espublico.com/home/corporativa,activo
espublico-hacienda-local,esPublico Hacienda Local,esPublico,"Zaragoza, Zaragoza","Plataforma para gestionar contenido especializado para el equipo económico (áreas de Intervención, Tesorería y Gestión Tributaria y Recaudación) de la Administración Local",https://www.espublico.com/home/hl,2022-08-19,2022-08-19,https://www.espublico.com/home/hl,activo
espublico-recursos-humanos,esPublico Recursos Humanos,esPublico,"Zaragoza, Zaragoza",Plataforma de contenido especializado para la gestión eficaz de los Recursos Humanos en el ámbito de la Administración Local en entidades con población superior a 5.000 habitantes.,https://www.espublico.com/home/rrhh,2022-08-19,2022-08-19,https://www.espublico.com/home/rrhh,activo
e-normative,E-normative software,Pollux Technologies,"Zaragoza, Zaragoza",Con e-normative se automatiza el proceso para preparar modelos normativos de prevención y detección de delitos que son parte de la tarea de un Compliance Officer.,http://e-normative.es/compliance-software/,2022-09-29,2022-09-29,http://e-normative.es/compliance-software/,activo
fisiovr,FisioVR,Abaco Digital/Health Control,"Zaragoza, Zaragoza",FisioVR es una aplicación para gafas VR que da apoyo a los ejercicios de fisioterapia destinados a la mejora de equilibrio y déficit sensoriomotores.,https://fisiovr.es/,2022-09-19,2022-09-19,https://fisiovr.es/,activo
frogtek-analytics,Frogtek Analytics,Frogtek,"Huesca, Huesca","Frogtek Analytics recopila, procesa y analiza información de puntos de venta en el canal tradicional y la convierte en insights para mejorar el desempeño de las marcas.",https://analytics.frogtek.org/,2022-08-18,2022-08-18,https://analytics.frogtek.org/,activo
gastrik,Gastrik,Gastrik,"Pedrola, Zaragoza",Aplicación móvil para conectar a locales de hostelería con comensales enfocados en las zonas rurales de Aragón.,https://gastrik.es/,2022-08-25,2026-07-31,https://gastrik.es/,inactivo
gisir,Gisir,Hiberus,"Zaragoza, Zaragoza","Solución para logística inversa. Permite una gestión centralizada de todo el servicio de recogidas, siendo accesible desde cualquier sitio y completamente estándar.",https://www.hiberus.com/gisir-plataforma-de-gestion-logistica-de-residuos,2022-08-22,2022-08-22,https://www.hiberus.com/gisir-plataforma-de-gestion-logistica-de-residuos,activo
globe,Globe,Hiberus,"Zaragoza, Zaragoza","Plataforma para facilitar el proceso de planificación, control y seguimiento de proyectos de obras. Permite integrar los datos de una obra de construcción sobre un soporte gráfico tridimensional.",https://www.hiberus.com/globe,2022-08-22,2022-08-22,https://www.hiberus.com/globe,activo
grc-suite,GRC Suite,Hiberus,"Zaragoza, Zaragoza","Monitorización y seguimiento de los principales riesgos operativos y de cumplimiento, así como el control ante obligaciones fiscales y legales. Cubre todos los objetivos del GDPR así como el Modelo de Prevención de Delitos (MPDD).",https://www.hiberus.com/grc-suite,2022-08-22,2022-08-22,https://www.hiberus.com/grc-suite,activo
hiberus-agro,Hiberus Agro,Hiberus,"Zaragoza, Zaragoza",Sistema de trazabilidad medición y control de procesos productivos agroalimentarios,https://www.hiberus.com/agro,2022-08-22,2022-08-22,https://www.hiberus.com/agro,activo
iacpos,IACPOS,Hiberus,"Zaragoza, Zaragoza",Sistema de venta de entradas para la industria de los centros de ocio. Integrado en más de 96 museos y monumentos y en 29 parques temáticos.,https://www.hiberus.com/iacpos,2022-08-22,2026-07-31,https://www.hiberus.com/iacpos,inactivo
